54,263.62,565.13,871.1,900.7,1474.4,1862.6,2254,2850,3070,3862,4087,4897,5953,8612,10375,17858,22656,300.82,644.40,993.8,1027.5,1680.6,2120.9,2565,3236,3483,4375,4627,5531,6709,9664,11620,20007,25384
55,265.86,569.90,878.5,908.3,1486.9,1878.3,2273,2874,3096,3894,4121,4938,6003,8684,10462,18006,22843,303.82,650.78,1003.5,1037.6,1697.2,2141.7,2590,3268,3516,4417,4672,5585,6774,9758,11732,20197,25624
56,268.26,574.97,886.2,916.3,1500.1,1895.1,2293,2900,3124,3929,4157,4982,6056,8761,10554,18164,23042,307.00,657.54,1013.9,1048.3,1714.7,2163.8,2617,3301,3553,4463,4720,5642,6843,9856,11850,20399,25879
57,270.69,580.13,894.1,924.5,1513.6,1912.1,2313,2926,3152,3964,4195,5027,6110,8839,10648,18324,23245,310.26,664.45,1024.5,1059.3,1732.6,2186.3,2644,3335,3589,4509,4769,5700,6914,9957,11971,20604,26138
58,273.17,585.38,902.3,932.9,1527.3,1929.4,2334,2952,3180,4000,4232,5072,6165,8918,10744,18487,23451,313.58,671.51,1035.3,1070.5,1750.8,2209.3,2671,3370,3627,4558,4819,5760,6985,10060,12094,20814,26403
59,275.69,590.73,910.5,941.4,1541.2,1947.0,2356,2979,3209,4036,4271,5118,6221,8999,10841,18653,23661,316.97,678.71,1046.4,1081.9,1769.5,2232.8,2700,3406,3665,4604,4870,5820,7059,10165,12220,21028,26673
60,278.26,596.17,918.9,950.1,1555.4,1965.0,2377,3007,3239,4073,4310,5165,6278,9081,10940,18821,23874,320.44,686.07,1057.7,1093.6,1788.5,2256.7,2729,3442,3704,4653,4921,5882,7134,10273,12349,21246,26950
61,281.04,602.05,927.9,959.4,1570.7,1984.4,2401,3036,3271,4113,4352,5216,6339,9170,11047,19003,24104,324.17,693.99,1069.8,1106.1,1809.0,2282.5,2760,3481,3746,4706,4977,5949,7214,10388,12487,21481,27247
62,283.37,608.04,937.1,968.9,1586.4,2004.1,2425,3067,3303,4154,4395,5268,6402,9260,11156,19189,24339,327.99,702.09,1082.2,1118.9,1829.9,2308.9,2792,3521,3789,4760,5034,6017,7297,10506,12628,21721,27550
63,286.75,614.16,946.6,978.7,1602.3,2024.3,2449,3097,3336,4196,4439,5320,6466,9352,11267,19378,24578,331.89,710.38,1094.9,1132.1,1851.4,2335.8,2824,3562,3823,4815,5093,6087,7381,10626,12773,21966,27860
64,289.70,620.40,956.1,988.6,1618.6,2044.9,2474,3129,3370,4238,4484,5374,6531,9446,11381,19571,24822,335.90,718.87,1107.9,1145.5,1873.3,2363.5,2857,3604,3878,4872,5153,6158,7467,10750,12921,22217,28177
65,292.71,626.76,965.9,998.7,1635.2,2065.8,2499,3161,3404,4281,4530,5429,6597,9542,11496,19768,25071,340.00,727.57,1121.2,1159.3,1895.8,2391.7,2892,3647,3925,4930,5214,6231,7555,10876,13072,22474,28501
66,296.01,633.74,976.6,1009.8,1653.4,2088.8,2527,3196,3442,4329,4580,5489,6670,9647,11623,19983,25343,344.48,737.06,1135.8,1174.4,1920.3,2422.6,2929,3694,3975,4993,5281,6311,7652,11014,13237,22754,28855
67,299.38,640.87,987.6,1021.1,1671.9,2112.3,2555,3232,3481,4377,4631,5551,6745,9755,11752,20203,25621,349.07,746.81,1150.7,1189.8,1945.5,2454.3,2967,3742,4026,5058,5349,6392,7751,11155,13406,23040,29217
68,302.83,648.17,998.8,1032.7,1691.0,2136.4,2584,3269,3520,4427,4683,5613,6821,9864,11884,20428,25906,353.80,756.81,1166.0,1205.6,1971.3,2486.8,3006,3791,4079,5125,5420,6476,7852,11300,13580,23335,29588
69,306.36,655.64,1010.3,1044.6,1710.4,2161.0,2614,3306,3561,4477,4737,5678,6899,9977,12019,20658,26197,358.65,767.09,1181.8,1221.9,1997.9,2520.1,3046,3842,4134,5193,5492,6562,7956,11449,13758,23637,29969
70,309.97,663.27,1022.0,1056.7,1730.3,2186.1,2644,3345,3602,4529,4792,5743,6978,10091,12158,20893,26493,363.63,777.65,1197.9,1238.6,2025.1,2554.4,3088,3894,4190,5263,5566,6651,8063,11601,13941,23946,30361
71,314.00,671.78,1035.1,1070.2,1752.5,2214.1,2678,3387,3648,4587,4853,5816,7067,10219,12311,21154,26823,369.17,789.36,1215.9,1257.2,2055.3,2592.4,3134,3951,4252,5341,5648,6749,8181,11771,14143,24289,30794
72,318.13,680.51,1048.5,1084.1,1775.2,2242.8,2716,3431,3695,4646,4915,5891,7158,10350,12469,21422,27162,374.87,801.42,1234.4,1276.3,2086.5,2631.6,3181,4011,4315,5421,5733,6850,8303,11945,14352,24642,31239
73,322.37,689.46,1062.2,1098.3,1798.5,2272.3,2748,3476,3744,4706,4979,5968,7251,10484,12631,21697,27509,380.75,813.87,1253.3,1295.9,2218.5,2671.9,3229,4072,4381,5504,5820,6953,8429,12124,14566,25005,31698
74,326.73,698.65,1076.4,1112.9,1822.4,2302.6,2785,3522,3793,4769,5045,6047,7346,10622,12797,21979,27865,386.82,826.70,1273.0,1316.2,2151.6,2713.5,3280,4135,4449,5589,5910,7061,8558,12309,14788,25380,32170
75,331.20,708.10,1090.9,1127.9,1847.0,2333.6,2822,3570,3844,4833,5113,6128,7445,10764,12967,22268,28231,393.08,839.95,1293.3,1337.2,2185.8,2756.4,3331,4200,4519,5676,6003,7171,8691,12500,15016,25765,32656
